"","mat_base","mat_lower","mat_uper","mab_base","mab_lower","mab_lower"
"S1",162223.188735197,166588.721279087,157864.293092631,35340.2538237147,40991.9104750706,29699.8423000639
"S2",162223.188735197,162272.094899811,162174.292865874,35340.2538237147,35381.5260812803,35298.9915532773
"S3",162223.188735197,163538.327725282,160929.033114131,35340.2538237147,35622.0553315858,35062.8759124614
"S4",162223.188735197,162376.953709281,162069.423761113,35340.2538237147,35579.7020570203,35100.8055904091
"S5",162223.188735197,169106.793664452,155339.583805943,35340.2538237147,44451.9681686534,26228.5394787762
"S6",162223.188735197,190707.071201078,131365.649397159,35340.2538237147,73043.899388978,-5505.36220532053
"S7",162223.188735197,162925.171257268,160870.588265841,35340.2538237147,36433.4057311776,33233.9367337252
"S8",162223.188735197,162590.521675965,161855.855794429,35340.2538237147,35733.0708163009,34947.4368311285
"S9",162223.188735197,162250.429307228,162195.948163166,35340.2538237147,35371.9168161597,35308.5908312696
"S10",162223.188735197,157176.795695081,167269.581775313,35340.2538237147,32371.1455970748,38309.3620503546
"S11",162223.188735197,169988.972454036,155357.785737383,35340.2538237147,44639.5885289848,27119.102852389
"S12",162223.188735197,166182.336095079,154304.894015434,35340.2538237147,39582.532809125,26855.695852894
"S13",162223.188735197,208675.146476233,101539.067790992,35340.2538237147,46733.9390329743,21359.4820938057
"S14",162223.188735197,162223.188735197,162223.188735197,35340.2538237147,-346.143131092389,88869.8492559254
"S15",162223.188735197,73911.310533173,275767.032137799,35340.2538237147,35340.2538237147,35340.2538237147
"S16",162223.188735197,160654.850833038,163007.357686277,35340.2538237147,34951.7418725248,35534.5097993097
